Feature,Importance
lead_time,0.11807885693981617
adr,0.08161841563609777
arrival_date_day_of_month,0.062301842537581996
total_of_special_requests,0.05651389379665627
arrival_date_week_number,0.055701403883385875
agent,0.04607914505133001
country_PRT,0.04460347819581187
total_stay,0.03972073831669715
stays_in_week_nights,0.03654541529451456
required_car_parking_spaces,0.02633526752679105
arrival_date_year,0.025061985468875468
stays_in_weekend_nights,0.02447733923115035
market_segment_Online TA,0.021857652165025124
booking_changes,0.017569857691884697
previous_cancellations,0.015736349124504726
market_segment_Offline TA/TO,0.014221957261638794
total_guests,0.013575058009449012
customer_type_Transient,0.013499222016672141
deposit_type_Non Refund,0.01251581933417728
adults,0.011633916791239547
assigned_room_type_D,0.010945449837256456
hotel_Resort Hotel,0.009415010732301695
country_GBR,0.009055486734171551
reserved_room_type_D,0.009017451038160906
distribution_channel_TA/TO,0.007824465573923767
customer_type_Transient-Party,0.00768568098487188
meal_SC,0.00724953965911163
arrival_date_month_July,0.007034759212523591
meal_HB,0.006936919014685036
country_FRA,0.006919081936061318
arrival_date_month_August,0.006815782563295211
country_ESP,0.006457007926232699
arrival_date_month_May,0.006197488100323699
arrival_date_month_June,0.006175453057940131
country_DEU,0.0059804847883079505
arrival_date_month_March,0.005369552510955611
children,0.00521576098856658
distribution_channel_Direct,0.005101687778228379
assigned_room_type_E,0.004833754672169676
arrival_date_month_October,0.004453630509272364
arrival_date_month_February,0.004374579069184139
country_ITA,0.004302298744163627
arrival_date_month_September,0.0042766237767160485
company,0.004207259483585413
is_family,0.004141245235763933
reserved_room_type_E,0.004055802692776926
previous_bookings_not_canceled,0.004010021484898788
country_IRL,0.0038881645678358312
market_segment_Direct,0.0035981288225351623
arrival_date_month_December,0.0034622738900557913
arrival_date_month_November,0.0033808005760293303
country_BRA,0.003361209955606715
arrival_date_month_January,0.0031927701223381532
country_BEL,0.003043249632746228
market_segment_Groups,0.0029931717527897474
assigned_room_type_F,0.002945206462230212
country_NLD,0.0028990571647643537
country_CHE,0.002830883977201128
country_USA,0.0027923714852978706
assigned_room_type_B,0.002602701791491423
assigned_room_type_C,0.002327637063947397
is_repeated_guest,0.00222117664494476
country_CHN,0.00219633968216492
reserved_room_type_F,0.0019254445311061483
assigned_room_type_G,0.0019148164745934621
country_CN,0.0018490056032786915
market_segment_Corporate,0.0017919664727702393
country_SWE,0.0017151690666568726
country_AUT,0.0017116575961410008
country_RUS,0.0014801768189580085
days_in_waiting_list,0.0014759432010268624
country_POL,0.0014617502011770587
country_AGO,0.0014476854748112482
reserved_room_type_G,0.001428447203782727
reserved_room_type_B,0.0014273130419963586
country_ROU,0.0010834821386739146
country_ISR,0.0010606768909787938
country_NOR,0.0010310219459713935
country_AUS,0.0009510556437810022
country_LUX,0.0009459023574590875
babies,0.0009269439254874078
reserved_room_type_C,0.0009260570486234182
country_MAR,0.0009191964097431858
country_DNK,0.0007839275885295933
country_FIN,0.0007608156907328808
country_TUR,0.0007389678213977467
meal_Undefined,0.0006809985230530693
assigned_room_type_H,0.0006362807856491715
meal_FB,0.0006208959930772952
country_HUN,0.0005489145324911047
assigned_room_type_K,0.0005107508786419062
reserved_room_type_H,0.0004991576402313766
assigned_room_type_I,0.0004954968783261764
market_segment_Complementary,0.00047268591286423676
country_KOR,0.0004425357262675602
customer_type_Group,0.00043974069680858104
country_CZE,0.00042977718779193473
country_ARG,0.0004213551577640811
country_JPN,0.00038475623031445174
country_IRN,0.0003559767033751982
country_IND,0.0003448363198466838
country_ARE,0.0003369654940029091
country_ZAF,0.0003296468250163221
country_GRC,0.0003200660163744375
country_Unknown,0.0003071925487179153
country_NGA,0.0003043971237089781
deposit_type_Refundable,0.00030052905794858116
distribution_channel_GDS,0.0002821282015351792
country_SAU,0.00026689698027227766
country_NZL,0.00024846942681734744
country_HRV,0.00024585548594116845
country_PHL,0.00023303467007174938
country_COL,0.0002309474516293071
country_MOZ,0.00021558437903869697
country_GIB,0.00019826190005216033
country_SVK,0.00019391671627686403
country_BGR,0.00018906205173790713
country_EST,0.00018897361961009554
country_HKG,0.00017877999217379422
country_TUN,0.0001713824488376048
country_DZA,0.00016386243544777294
country_SGP,0.0001605347268697276
country_LVA,0.00015320243859466898
country_THA,0.00014481169533524623
country_IDN,0.00014342386693397323
country_MEX,0.0001419504557398841
country_LTU,0.0001409230855444073
country_CHL,0.0001403473328926074
country_TWN,0.00013867199872957296
country_UKR,0.00013407059770100514
country_ECU,0.00012516697255990955
country_GEO,0.00011486744670942716
reserved_room_type_P,0.00011360222079768516
