Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7825390468562274,0.665785997357992,0.41956295525494275,0.514745308310992
Decision Tree,0.7994736540992048,0.6338550247116969,0.640582726326743,0.6372011178966981
Random Forest,0.8478173808570284,0.7780658542908997,0.6245577523413112,0.6929115677672593
